iter	Passed	Remaining
354	12153	22082
355	12188	22049
356	12228	22024
357	12267	21999
358	12304	21970
359	12342	21941
360	12375	21905
361	12407	21868
362	12440	21830
363	12474	21796
364	12507	21758
365	12539	21720
366	12573	21687
367	12610	21656
368	12644	21622
369	12683	21595
370	12725	21574
371	12761	21544
372	12793	21505
373	12824	21465
374	12866	21444
375	12895	21401
376	12926	21360
377	12957	21321
378	12991	21286
379	13029	21258
380	13068	21231
381	13111	21212
382	13147	21179
383	13186	21152
384	13219	21116
385	13253	21082
386	13287	21046
387	13318	21007
388	13354	20976
389	13384	20935
390	13417	20898
391	13454	20867
392	13498	20848
393	13536	20819
394	13575	20792
395	13612	20761
396	13646	20727
397	13678	20689
398	13708	20648
399	13739	20608
400	13773	20574
401	13805	20535
402	13838	20499
403	13870	20462
404	13898	20419
405	13932	20384
406	13971	20357
407	14008	20326
408	14044	20294
409	14082	20265
410	14120	20235
411	14156	20204
412	14189	20167
413	14221	20129
414	14248	20085
415	14281	20048
416	14318	20018
417	14348	19977
418	14382	19943
419	14415	19907
420	14450	19873
421	14491	19848
422	14529	19819
423	14566	19788
424	14605	19760
425	14640	19727
426	14673	19690
427	14715	19666
428	14755	19639
429	14793	19610
430	14830	19579
431	14864	19544
432	14894	19503
433	14927	19467
434	14964	19436
435	15002	19406
436	15039	19376
437	15078	19347
438	15111	19311
439	15147	19278
440	15180	19242
441	15218	19212
442	15255	19181
443	15294	19152
444	15331	19121
445	15364	19085
446	15399	19050
447	15431	19013
448	15463	18976
449	15495	18938
450	15530	18905
451	15569	18876
452	15608	18847
453	15648	18819
454	15684	18787
455	15719	18753
456	15749	18713
457	15776	18670
458	15811	18635
459	15845	18600
460	15882	18569
461	15922	18541
462	15963	18515
463	16002	18485
464	16038	18452
465	16074	18420
466	16112	18389
467	16148	18356
468	16186	18326
469	16226	18298
470	16263	18266
471	16303	18238
472	16338	18203
473	16369	18165
474	16406	18133
475	16443	18101
476	16476	18065
477	16512	18032
478	16545	17996
479	16577	17959
480	16616	17929
481	16655	17899
482	16694	17869
483	16730	17837
484	16773	17810
485	16805	17774
486	16837	17736
487	16868	17697
488	16900	17661
489	16930	17621
490	16962	17584
491	16995	17547
492	17029	17513
493	17070	17485
494	17107	17452
495	17145	17421
496	17186	17394
497	17225	17363
498	17260	17330
499	17295	17295
500	17332	17262
501	17365	17227
502	17400	17192
503	17437	17161
504	17478	17132
505	17516	17101
506	17555	17071
507	17598	17044
508	17636	17012
509	17668	16975
510	17701	16939
511	17734	16903
512	17766	16866
513	17799	16829
514	17830	16791
515	17861	16754
516	17891	16715
517	17922	16676
518	17957	16642
519	18001	16617
520	18040	16585
521	18077	16554
522	18115	16522
523	18149	16486
524	18182	16450
525	18216	16415
526	18247	16377
527	18280	16341
528	18311	16303
529	18345	16268
530	18376	16230
531	18408	16193
532	18442	16159
533	18479	16126
534	18519	16096
535	18557	16064
536	18596	16033
537	18629	15997
538	18662	15961
539	18692	15923
540	18726	15888
541	18757	15850
542	18793	15816
543	18825	15780
544	18857	15743
545	18890	15707
546	18923	15671
547	18957	15636
548	18996	15605
549	19033	15572
550	19071	15540
551	19107	15507
552	19139	15471
553	19172	15434
554	19210	15402
555	19250	15372
556	19289	15341
557	19329	15310
558	19364	15277
559	19398	15241
560	19432	15206
561	19464	15169
562	19505	15140
563	19543	15108
564	19585	15079
565	19624	15047
566	19659	15013
567	19690	14975
568	19722	14938
569	19760	14907
570	19800	14876
571	19837	14843
572	19876	14811
573	19909	14776
574	19940	14738
575	19974	14703
576	20018	14675
577	20057	14644
578	20095	14611
579	20136	14581
580	20171	14547
581	20203	14510
582	20233	14472
583	20267	14437
584	20304	14403
585	20341	14371
586	20381	14339
587	20425	14312
588	20460	14277
589	20497	14243
590	20528	14206
591	20561	14170
592	20592	14133
593	20626	14098
594	20661	14063
595	20697	14030
596	20736	13998
597	20772	13964
598	20816	13935
599	20847	13898
600	20880	13862
601	20913	13826
602	20945	13789
603	20978	13754
604	21016	13721
605	21052	13687
606	21088	13653
607	21128	13622
608	21162	13587
609	21195	13551
610	21232	13517
611	21263	13480
612	21297	13445
613	21329	13408
614	21364	13374
615	21398	13339
616	21436	13306
617	21476	13275
618	21516	13243
619	21555	13211
620	21585	13173
621	21620	13139
622	21654	13103
623	21685	13066
624	21718	13031
625	21751	12995
626	21787	12961
627	21819	12925
628	21858	12892
629	21897	12860
630	21935	12827
631	21973	12794
632	22006	12759
633	22042	12725
634	22074	12688
635	22106	12652
636	22138	12615
637	22176	12583
638	22210	12547
639	22247	12514
640	22286	12482
641	22323	12448
642	22361	12415
643	22399	12382
644	22432	12346
645	22466	12311
646	22499	12275
647	22532	12239
648	22566	12204
649	22599	12169
650	22629	12131
651	22662	12095
652	22694	12059
653	22728	12024
654	22767	11992
655	22806	11959
656	22844	11926
657	22884	11894
658	22915	11857
659	22948	11822
660	22982	11786
661	23016	11751
662	23049	11716
663	23083	11680
664	23114	11644
665	23146	11608
666	23177	11571
667	23212	11536
668	23252	11504
669	23291	11471
670	23328	11438
671	23369	11406
672	23404	11371
673	23435	11335
674	23469	11299
675	23502	11264
676	23535	11228
677	23568	11193
678	23600	11157
679	23635	11122
680	23668	11086
681	23701	11051
682	23739	11017
683	23779	10985
684	23817	10952
685	23857	10920
686	23894	10886
687	23925	10850
688	23957	10814
689	23991	10778
690	24026	10743
691	24060	10709
692	24094	10673
693	24127	10638
694	24159	10602
695	24192	10566
696	24225	10531
697	24258	10495
698	24292	10460
699	24330	10427
700	24369	10394
701	24406	10360
702	24445	10327
703	24479	10292
704	24512	10257
705	24546	10222
706	24586	10189
707	24625	10156
708	24660	10121
709	24696	10087
710	24730	10052
711	24762	10016
712	24796	9981
713	24834	9947
714	24879	9917
715	24922	9885
716	24957	9850
717	24991	9815
718	25023	9779
719	25059	9745
720	25097	9711
721	25137	9678
722	25173	9644
723	25212	9611
724	25240	9574
725	25277	9539
726	25310	9504
727	25343	9469
728	25376	9433
729	25415	9400
730	25451	9366
731	25489	9332
732	25528	9298
733	25563	9264
734	25595	9228
735	25627	9192
736	25664	9158
737	25697	9123
738	25730	9087
739	25765	9052
740	25803	9019
741	25841	8985
742	25879	8951
743	25917	8917
744	25954	8883
745	25988	8848
746	26025	8814
747	26065	8781
748	26105	8748
749	26144	8714
750	26185	8682
751	26225	8648
752	26263	8614
753	26300	8580
754	26337	8546
755	26374	8512
756	26411	8478
757	26451	8444
758	26484	8409
759	26518	8374
760	26550	8338
761	26582	8302
762	26614	8266
763	26648	8231
764	26687	8198
765	26720	8162
766	26754	8127
767	26787	8091
768	26818	8056
769	26849	8020
770	26885	7985
771	26919	7950
772	26963	7918
773	26993	7881
774	27028	7847
775	27065	7812
776	27099	7777
777	27135	7743
778	27166	7707
779	27197	7671
780	27232	7636
781	27270	7602
782	27307	7567
783	27339	7532
784	27371	7496
785	27408	7462
786	27443	7427
787	27477	7392
788	27513	7357
789	27550	7323
790	27591	7290
791	27627	7255
792	27667	7222
793	27702	7187
794	27731	7150
795	27772	7117
796	27808	7083
797	27848	7049
798	27886	7015
799	27918	6979
800	27956	6945
801	27991	6910
802	28029	6876
803	28068	6842
804	28111	6809
805	28150	6775
806	28183	6740
807	28220	6705
808	28258	6671
809	28297	6637
810	28340	6604
811	28386	6572
812	28428	6538
813	28473	6506
814	28518	6473
815	28557	6439
816	28594	6404
817	28631	6370
818	28667	6335
819	28704	6300
820	28738	6265
821	28774	6230
822	28811	6196
823	28848	6161
824	28884	6127
825	28919	6091
826	28953	6056
827	28988	6021
828	29025	5987
829	29063	5952
830	29099	5918
831	29133	5882
832	29166	5847
833	29200	5812
834	29232	5776
835	29261	5740
836	29297	5705
837	29336	5671
838	29370	5636
839	29402	5600
840	29436	5565
841	29472	5530
842	29506	5495
843	29541	5460
844	29578	5425
845	29614	5390
846	29651	5356
847	29692	5322
848	29736	5288
849	29773	5254
850	29805	5218
851	29832	5182
852	29858	5145
853	29881	5108
854	29906	5071
855	29929	5034
856	29955	4998
857	29980	4961
858	30013	4926
859	30043	4890
860	30076	4855
861	30107	4819
862	30143	4785
863	30176	4750
864	30212	4715
865	30245	4679
866	30277	4644
867	30309	4609
868	30338	4573
869	30373	4538
870	30407	4503
871	30441	4468
872	30474	4433
873	30507	4398
874	30544	4363
875	30576	4328
876	30611	4293
877	30648	4258
878	30683	4223
879	30717	4188
880	30752	4153
881	30783	4118
882	30819	4083
883	30853	4048
884	30888	4013
885	30921	3978
886	30958	3943
887	30991	3908
888	31023	3873
889	31059	3838
890	31093	3803
891	31129	3769
892	31163	3733
893	31198	3699
894	31233	3664
895	31268	3629
896	31303	3594
897	31339	3559
898	31378	3525
899	31416	3490
900	31450	3455
901	31490	3421
902	31527	3386
903	31567	3352
904	31603	3317
905	31641	3282
906	31677	3248
907	31716	3213
908	31753	3178
909	31793	3144
910	31831	3109
911	31869	3075
912	31904	3040
913	31944	3005
914	31979	2970
915	32017	2936
916	32049	2900
917	32081	2865
918	32117	2830
919	32154	2796
920	32193	2761
921	32229	2726
922	32264	2691
923	32304	2657
924	32345	2622
925	32384	2587
926	32422	2553
927	32462	2518
928	32501	2483
929	32545	2449
930	32591	2415
931	32636	2381
932	32681	2346
933	32719	2312
934	32759	2277
935	32796	2242
936	32830	2207
937	32863	2172
938	32898	2137
939	32931	2102
940	32968	2067
941	33003	2032
942	33038	1997
943	33072	1961
944	33107	1926
945	33141	1891
946	33176	1856
947	33212	1821
948	33247	1786
949	33286	1751
950	33323	1716
951	33358	1681
952	33392	1646
953	33427	1611
954	33452	1576
955	33480	1540
956	33505	1505
957	33533	1470
958	33559	1434
959	33587	1399
960	33618	1364
961	33653	1329
962	33684	1294
963	33718	1259
964	33751	1224
965	33783	1189
966	33819	1154
967	33851	1119
968	33884	1084
969	33917	1049
970	33951	1013
971	33985	979
972	34019	944
973	34053	909
974	34086	874
975	34120	839
976	34149	803
977	34181	768
978	34219	734
979	34251	699
980	34283	664
981	34316	629
982	34351	594
983	34384	559
984	34417	524
985	34450	489
986	34483	454
987	34515	419
988	34548	384
989	34580	349
990	34614	314
991	34648	279
992	34676	244
993	34707	209
994	34741	174
995	34776	139
996	34809	104
997	34842	69
998	34877	34
999	34909	0
