iter	RMSE
140	0.1836713878
141	0.1834234376
142	0.1832092498
143	0.1830496709
144	0.1829214654
145	0.1827353396
146	0.182558588
147	0.1823492374
148	0.1822100818
149	0.1820710331
150	0.1818676064
151	0.1816437553
152	0.1815281023
153	0.1813513435
154	0.1811260685
155	0.1808679193
156	0.180697587
157	0.1805551909
158	0.1803947206
159	0.1802072536
160	0.1800260547
161	0.1798961932
162	0.1797855187
163	0.1796357688
164	0.1795216416
165	0.1794006155
166	0.1792445065
167	0.1791304129
168	0.1790345357
169	0.1787750378
170	0.1786222157
171	0.1785058128
172	0.1783506434
173	0.178149344
174	0.1780959956
175	0.1779621299
176	0.1778870934
177	0.1776454767
178	0.1775149455
179	0.1774166461
180	0.1772028594
181	0.1770653925
182	0.1769912035
183	0.1768332138
184	0.1766446882
185	0.1764392757
186	0.1763430144
187	0.1762392178
188	0.176092777
189	0.1759628922
190	0.1758351541
191	0.1756821583
192	0.1755512356
193	0.1754563098
194	0.1752765386
195	0.175195805
196	0.1750503381
197	0.1749178011
198	0.1748012854
199	0.1746120233
200	0.174428402
201	0.1743491686
202	0.1741793242
203	0.1740507256
204	0.173870878
205	0.1737500585
206	0.173634512
207	0.1734690708
208	0.1733906946
209	0.1732528834
210	0.1730851656
211	0.1729886337
212	0.1728588137
213	0.1727293004
214	0.1726274549
215	0.1724891143
216	0.1723503989
217	0.1722536012
218	0.1721119691
219	0.1720156911
220	0.1718990554
221	0.1717583005
222	0.1716512372
223	0.1715318569
224	0.1713822941
225	0.1712515639
226	0.1711591816
227	0.1710117338
228	0.1709142064
229	0.1708134486
230	0.1706808963
231	0.170562882
232	0.1704213556
233	0.1703289703
234	0.1702591503
235	0.1701342274
236	0.1700133437
237	0.1698599873
238	0.169684237
239	0.1695876624
240	0.1695146222
241	0.1693917046
242	0.169257219
243	0.1691525334
244	0.1690389511
245	0.1688969135
246	0.1687458519
247	0.1686307975
248	0.1685042128
249	0.1684155586
250	0.1683170606
251	0.1682017977
252	0.1680617401
253	0.1680012034
254	0.1678639304
255	0.1677762318
256	0.1676741618
257	0.1675848954
258	0.1674494652
259	0.1673511494
260	0.1672109952
261	0.1671205491
262	0.1670556538
263	0.1669911495
264	0.1668952939
265	0.1667701073
266	0.1666677387
267	0.1665659444
268	0.1664919956
269	0.1664127763
270	0.1663195696
271	0.1662210403
272	0.1660952401
273	0.1660169369
274	0.1659454521
275	0.1658383889
276	0.1657353426
277	0.1656553717
278	0.1655575582
279	0.1654369215
280	0.165288001
281	0.1651947042
282	0.1650931689
283	0.1649793919
284	0.1649112205
285	0.164792735
286	0.1647037841
287	0.1646327743
288	0.164521001
289	0.1644530275
290	0.1643282684
291	0.1642008504
292	0.1641171907
293	0.1640430421
294	0.1639308449
295	0.1638451532
296	0.1637247319
297	0.1636019133
298	0.1635235482
299	0.1634371175
300	0.1633431329
301	0.1632715034
302	0.1631793829
303	0.163087225
304	0.1629907513
305	0.1628918321
306	0.1627916091
307	0.162686507
308	0.1625914391
309	0.1625448008
310	0.162464614
311	0.1623667952
312	0.1622910448
313	0.162188278
314	0.1620860377
315	0.162019647
316	0.1619661331
317	0.1618959725
318	0.1618081455
319	0.1617099947
320	0.1616113323
321	0.1615157821
322	0.1614212856
323	0.1613204441
324	0.1612563046
325	0.1611969954
326	0.1611104951
327	0.1610099758
328	0.1609647235
329	0.1609030655
330	0.160861946
331	0.1607559791
332	0.1606980236
333	0.1606538181
334	0.1605966107
335	0.1605400763
336	0.1604154364
337	0.1603399778
338	0.1602507648
339	0.1601671605
340	0.1601108528
341	0.1600478723
342	0.1599579361
343	0.1598904909
344	0.1598257976
345	0.1597211272
346	0.1596767159
347	0.1596086922
348	0.1595274796
349	0.1594301689
350	0.1593750006
351	0.1593034332
352	0.1592350691
353	0.1591429249
354	0.1590716226
355	0.1589752887
356	0.1588859973
357	0.1588271267
358	0.158768964
359	0.1586870558
360	0.158610672
361	0.1585073431
362	0.1584405248
363	0.1583335601
364	0.1582723045
365	0.1581984529
366	0.1580964088
367	0.1579901771
368	0.1579404339
369	0.1578501172
370	0.1577654857
371	0.1576997001
372	0.1576423199
373	0.1575519819
374	0.1574569775
375	0.1573764925
376	0.1572729254
377	0.1572012006
378	0.1571216074
379	0.1570827172
380	0.1570131456
381	0.1569222462
382	0.1568847901
383	0.1567931172
384	0.1566946218
385	0.1566230971
386	0.1565604577
387	0.1565088845
388	0.1564249536
389	0.1563763463
390	0.1562932721
391	0.1562060103
392	0.1561406069
393	0.1560948168
394	0.1560384506
395	0.1560067117
396	0.1559237156
397	0.1558621354
398	0.1557941063
399	0.1557053937
400	0.1556240728
401	0.1555286738
402	0.155438315
403	0.1553574485
404	0.1553108246
405	0.1552408089
406	0.1551485773
407	0.1551063193
408	0.1550121532
409	0.1549674227
410	0.1548590491
411	0.1547802642
412	0.1547000068
413	0.1546259063
414	0.1545886442
415	0.1545360743
416	0.1544486402
417	0.1543770853
418	0.15430683
419	0.154250871
420	0.1542001534
421	0.1540806773
422	0.153998003
423	0.1539534526
424	0.1538757531
425	0.1537799914
426	0.153712407
427	0.1536312351
428	0.1535534651
429	0.1534826877
430	0.1534419242
431	0.1533876236
432	0.153355417
433	0.1532939499
434	0.1532387237
435	0.1531387536
436	0.1530800538
437	0.15303858
438	0.1529867875
439	0.1529509244
440	0.1529213447
441	0.1528632913
442	0.1528265708
443	0.1527370756
444	0.1526481436
445	0.1525737437
446	0.1525143713
447	0.1524671883
448	0.1524037358
449	0.1523511551
450	0.1522820025
451	0.1522416259
452	0.1521756383
453	0.152111298
454	0.1520757752
455	0.1519933172
456	0.1519295427
457	0.1518657575
458	0.1517913799
459	0.1517430587
460	0.151682704
461	0.1516080388
462	0.1515672679
463	0.1515175537
464	0.1514640829
465	0.1514056315
466	0.1513381603
467	0.1512954724
468	0.1512285306
469	0.1511461936
470	0.151079631
471	0.1509834911
472	0.1509332942
473	0.15087835
474	0.150836341
475	0.1507835122
476	0.1507261515
477	0.1506968633
478	0.150619715
479	0.1505504618
480	0.1504681388
481	0.1503889961
482	0.1503362634
483	0.1502787434
484	0.1502393652
485	0.1501575109
486	0.1500918607
487	0.1500361837
488	0.150001733
489	0.1499605249
490	0.1499333809
491	0.1498398539
492	0.14976041
493	0.1496870109
494	0.1496079738
495	0.1495455989
496	0.1494817591
497	0.1494128498
498	0.1493525453
499	0.1493084283
500	0.1492726302
501	0.1492212493
502	0.1491480899
503	0.1491127514
504	0.1490315195
505	0.1489936715
506	0.1489494577
507	0.1488790377
508	0.1488097411
509	0.1487778043
510	0.148724673
511	0.148679047
512	0.1486559478
513	0.1486087835
514	0.1485695533
515	0.1485279031
516	0.1484610556
517	0.1483903715
518	0.1483380979
519	0.1482291106
520	0.1481686921
521	0.1481349678
522	0.1480656862
523	0.1480055288
524	0.147947545
525	0.1479014855
526	0.1478574587
527	0.1477828171
528	0.1477195696
529	0.1476231947
530	0.1475833612
531	0.1475410019
532	0.1474893453
533	0.1474264626
534	0.1473356707
535	0.1472916716
536	0.1472016716
537	0.1471507981
538	0.1470843915
539	0.1470461465
540	0.1469995105
541	0.1469555949
542	0.1469164874
543	0.1468471742
544	0.1467979465
545	0.1467574902
546	0.1467216898
547	0.1466843342
548	0.1466350287
549	0.1465695732
550	0.1464966817
551	0.1464267198
552	0.1463898659
553	0.1463457982
554	0.1462961667
555	0.1462417089
556	0.14612898
557	0.1460808922
558	0.1460279226
559	0.1459764163
560	0.1459105284
561	0.1458664919
562	0.1457877878
563	0.1457304676
564	0.1456687561
565	0.1456016106
566	0.1455561096
567	0.1455116734
568	0.145467962
569	0.1454497051
570	0.1454072051
571	0.1453581698
572	0.1452873471
573	0.145253685
574	0.1452112202
575	0.1451421309
576	0.1450718231
577	0.1450299079
578	0.144994137
579	0.1449160939
580	0.14486392
581	0.1448253411
582	0.1447776063
583	0.1446788105
584	0.1446222225
585	0.1445652197
586	0.1445063982
587	0.1444502208
588	0.14441978
589	0.1443601586
590	0.1443235763
591	0.144264354
592	0.1442143665
593	0.1441923217
594	0.1441616144
595	0.1441362015
596	0.1440650899
597	0.1439944172
598	0.1439395625
599	0.1438840947
600	0.1438228839
601	0.1437711105
602	0.1436998746
603	0.1436479779
604	0.1436031054
605	0.1435437019
606	0.1434821899
607	0.1434233605
608	0.1433915959
609	0.143313436
610	0.1432637426
611	0.1432065187
612	0.1431497968
613	0.1430878847
614	0.143007662
615	0.1429755048
616	0.1429368753
617	0.1428719802
618	0.1428050871
619	0.1427428664
620	0.1426836711
621	0.142627153
622	0.1425866262
623	0.1425285509
624	0.1424799931
625	0.1424365248
626	0.1423890045
627	0.1423358277
628	0.142267806
629	0.1421865852
630	0.1421340609
631	0.1420724518
632	0.1420099098
633	0.1419681521
634	0.1419125623
635	0.1418445998
636	0.1418112725
637	0.141737188
638	0.1416883948
639	0.1416217559
640	0.1415648037
641	0.1415422067
642	0.1415017547
643	0.1414413525
644	0.1414131945
645	0.1413700301
646	0.1413383888
647	0.1412624894
648	0.1411984945
649	0.1411579692
650	0.141123397
651	0.1410611492
652	0.1410242969
653	0.1409724663
654	0.1408942642
655	0.1408296854
656	0.1407949878
657	0.1407716144
658	0.1407336569
659	0.1406990674
660	0.1406392285
661	0.1405878746
662	0.1405444169
663	0.1404849682
664	0.1404278471
665	0.140372077
666	0.1403211104
667	0.1402779477
668	0.1402233248
669	0.1401934687
670	0.1401344408
671	0.1400830236
672	0.1400317556
673	0.14000157
674	0.1399542044
675	0.1398878947
676	0.1398145029
677	0.1397692457
678	0.1397358304
679	0.1396829559
680	0.1396152205
681	0.139582858
682	0.1395425145
683	0.139490983
684	0.1394390444
685	0.1393758756
686	0.1393364242
687	0.1392979848
688	0.1392545321
689	0.1391997249
690	0.1391067488
691	0.1390646897
692	0.1390145454
693	0.1389647166
694	0.138916602
695	0.1388842045
696	0.1388287584
697	0.1387714354
698	0.138728397
699	0.1386712752
700	0.1386212259
701	0.1385809022
702	0.1385341979
703	0.1384960607
704	0.1384312015
705	0.1383922303
706	0.1383282423
707	0.1382839019
708	0.1382264138
709	0.1381841464
710	0.1381445898
711	0.1380823252
712	0.1380423401
713	0.1379541189
714	0.1378947561
715	0.1378417068
716	0.137808942
717	0.1377702302
718	0.1377420121
719	0.137691351
720	0.1376440997
721	0.1375979665
722	0.1375285478
723	0.1374729864
724	0.1374514989
725	0.1374040071
726	0.1373293966
727	0.137277745
728	0.1372525185
729	0.1372135153
730	0.137179999
731	0.1371515584
732	0.1370990123
733	0.1370605949
734	0.1370264537
735	0.1369768821
736	0.1369516075
737	0.1369074384
738	0.1368497107
739	0.1368227334
740	0.136795913
741	0.1367585874
742	0.1367191096
743	0.1366742468
744	0.1366360599
745	0.136586674
746	0.1365590325
747	0.1365096212
748	0.1364804921
749	0.1364510159
750	0.1364110744
751	0.1363492338
752	0.1362985319
753	0.1362617375
754	0.1362274835
755	0.136182913
756	0.1361614055
757	0.1361288976
758	0.1360878757
759	0.1360447554
760	0.1360013872
761	0.1359643073
762	0.1359380479
763	0.1358975431
764	0.135837458
765	0.1358149176
766	0.1357759344
767	0.1357231634
768	0.1356660663
769	0.1356273828
770	0.1355810588
771	0.1355278055
772	0.1354962646
773	0.135452779
774	0.1353882158
775	0.135311068
776	0.1352802022
777	0.1352313259
778	0.1351929725
779	0.135134794
780	0.1350893169
781	0.1350612306
782	0.1350101183
783	0.1349481214
784	0.1349196934
785	0.1348829093
786	0.1348377124
787	0.1347755
788	0.1347392312
789	0.134704962
790	0.1346362994
791	0.1345889783
792	0.1345562147
793	0.1345225681
794	0.134464621
795	0.1344303653
796	0.1343965891
797	0.1343741172
798	0.13435543
799	0.1343277346
800	0.1342820626
801	0.1342557111
802	0.134206744
803	0.1341735273
804	0.1341445522
805	0.1341186837
806	0.1340964227
807	0.1340396313
808	0.1339918891
809	0.1339604498
810	0.1339393991
811	0.133901886
812	0.1338540427
813	0.1338300505
814	0.1337972551
815	0.1337629419
816	0.1337258789
817	0.1336883647
818	0.1336541675
819	0.1335845129
820	0.1335230475
821	0.1334763969
822	0.1334421558
823	0.133372668
824	0.133334068
825	0.1332964238
826	0.1332537199
827	0.1332235881
828	0.1331920155
829	0.1331374963
830	0.133088413
831	0.1330076299
832	0.1329638775
833	0.13291899
834	0.132896164
835	0.1328644741
836	0.1328282263
837	0.1327842631
838	0.13272939
839	0.1326874014
840	0.1326373321
841	0.1326054299
842	0.1325709159
843	0.1325508763
844	0.1325215681
845	0.1324699146
846	0.1324418707
847	0.1323801818
848	0.1323152875
849	0.1322725249
850	0.1322326108
851	0.1321767486
852	0.1321281383
853	0.1320741324
854	0.1320470783
855	0.1320084924
856	0.1319402399
857	0.1319135579
858	0.1318708187
859	0.1318271192
860	0.1317766443
861	0.1317392487
862	0.1316797741
863	0.1316392527
864	0.1315642927
865	0.131530308
866	0.1314628767
867	0.1314143699
868	0.1313934601
869	0.1313480678
870	0.1313170879
871	0.1312829687
872	0.1312391845
873	0.1312150899
874	0.1311793688
875	0.1311339411
876	0.131101407
877	0.1310544665
878	0.1310372435
879	0.1310084004
880	0.1309693507
881	0.1309366475
882	0.1308824586
883	0.1308472528
884	0.1307966286
885	0.1307817283
886	0.1307321455
887	0.1306906586
888	0.1306544911
889	0.1306021673
890	0.1305496859
891	0.1304953287
892	0.1304618226
893	0.1304311514
894	0.1303975633
895	0.1303465131
896	0.1303081579
897	0.130250396
898	0.1302232458
899	0.130181341
900	0.1301302472
901	0.1300846128
902	0.1300643831
903	0.1300350841
904	0.1300228599
905	0.1299916133
906	0.1299694431
907	0.1299267876
908	0.1299023504
909	0.129848917
910	0.1298134405
911	0.1297709022
912	0.1297316132
913	0.1296937979
914	0.1296648604
915	0.1296388388
916	0.1296145649
917	0.1295786396
918	0.1295345059
919	0.1295001645
920	0.1294577735
921	0.1294196507
922	0.1293768456
923	0.1293322177
924	0.129305391
925	0.1292825559
926	0.1292449753
927	0.1292150878
928	0.1291749308
929	0.1291275053
930	0.1290876203
931	0.1290486521
932	0.1289854459
933	0.1289697102
934	0.1289307024
935	0.1289002713
936	0.1288689762
937	0.128839295
938	0.1287808938
939	0.1287475111
940	0.1287263521
941	0.1286914393
942	0.1286705535
943	0.1286385551
944	0.1285663766
945	0.1285376092
946	0.1284833513
947	0.128451063
948	0.1284232217
949	0.1283764553
950	0.1283286041
951	0.1282935719
952	0.1282645138
953	0.1282331013
954	0.128195646
955	0.128168277
956	0.1281328662
957	0.1280935486
958	0.1280413627
959	0.1279997967
960	0.1279667074
961	0.1279258929
962	0.1278859566
963	0.1278465997
964	0.1278124931
965	0.1277939315
966	0.1277480903
967	0.1277231936
968	0.1276829923
969	0.1276484025
970	0.1276140168
971	0.1275788923
972	0.12750869
973	0.1274710951
974	0.1274330381
975	0.1273705239
976	0.1273385471
977	0.1273039957
978	0.1272562106
979	0.1272315754
980	0.1271942649
981	0.1271688193
982	0.1271361622
983	0.1270887118
984	0.1270349168
985	0.1269921437
986	0.1269466037
987	0.1269108009
988	0.1268592404
989	0.1268200016
990	0.1267673373
991	0.1267405895
992	0.1267233213
993	0.1266925481
994	0.126667914
995	0.1266384566
996	0.1265895115
997	0.1265514183
998	0.126491971
999	0.126454439
